"doi","all_links"
"10.3389/feduc.2025.1700268",""
"10.3389/feduc.2025.1700268",""
"10.3389/feduc.2025.1671376",""
"10.3389/feduc.2025.1671376",""
"10.3389/feduc.2025.1656736",""
"10.3389/feduc.2025.1656736",""
"10.3389/feduc.2025.1668771",""
"10.3389/feduc.2025.1668771",""
"10.3389/feduc.2025.1614680",""
"10.3389/feduc.2025.1614680",""
"10.3389/feduc.2025.1702910",""
"10.3389/feduc.2025.1702910",""
"10.3389/feduc.2025.1669750",""
"10.3389/feduc.2025.1669750",""
"10.3389/feduc.2025.1682242",""
"10.3389/feduc.2025.1682242",""
"10.3389/feduc.2025.1664093",""
"10.3389/feduc.2025.1664093",""
"10.3389/feduc.2025.1648564",""
"10.3389/feduc.2025.1648564",""
"10.3389/feduc.2025.1619662",""
"10.3389/feduc.2025.1619662",""
"10.3389/feduc.2025.1650480",""
"10.3389/feduc.2025.1650480",""
"10.3389/feduc.2025.1599280",""
"10.3389/feduc.2025.1599280",""
"",""
"",""
"10.3389/feduc.2025.1586967",""
"10.3389/feduc.2025.1586967",""
"10.3389/feduc.2025.1660929",""
"10.3389/feduc.2025.1660929",""
"10.3389/feduc.2025.1658707",""
"10.3389/feduc.2025.1658707",""
"10.3389/feduc.2025.1540817",""
"10.3389/feduc.2025.1540817",""
"10.3389/feduc.2025.1679222","https://github.com/bbossgroups/bboss"
"10.3389/feduc.2025.1679222","https://github.com/bbossgroups/bboss"
"10.3389/feduc.2025.1673610",""
"10.3389/feduc.2025.1673610",""
"10.3389/feduc.2025.1671316",""
"10.3389/feduc.2025.1671316",""
"10.3389/feduc.2025.1686502",""
"10.3389/feduc.2025.1686502",""
"10.3389/feduc.2025.1701238",""
"10.3389/feduc.2025.1701238",""
"",""
"",""
"10.3389/feduc.2025.1644584","https://osf.io/bv9pf; https://osf.io/dzv3j"
"10.3389/feduc.2025.1644584","https://osf.io/bv9pf; https://osf.io/dzv3j"
"10.3389/feduc.2025.1688902",""
"10.3389/feduc.2025.1688902",""
"",""
"",""
"10.3389/feduc.2025.1667432",""
"10.3389/feduc.2025.1667432",""
"10.3389/feduc.2025.1711106",""
"10.3389/feduc.2025.1711106",""
"10.3389/feduc.2025.1705140",""
"10.3389/feduc.2025.1705140",""
"10.3389/feduc.2025.1636343",""
"10.3389/feduc.2025.1636343",""
"10.3389/feduc.2025.1689205",""
"10.3389/feduc.2025.1689205",""
