...1,openalex_id,journal_id,journal_name,doi,publication_year,oa_urls,pdf_download_status,pdf_local_path,tei_process_status,tei_local_path,journal_short,journal_long,osf_links,git_links,osf_links_raw,git_links_raw,has_osf,has_git,all_osf_links,all_git_links,has_any_link,all_osf_links_clean,all_git_links_clean,second_trial_osf,second_trial_git,second_trial_any_link
11162,W4396965164,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050536,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/536/pdf?version=1715843633""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/78d8990c7d2ccfebbe60d71f1ada435438cfa9871727bce68bacd0d0dfb835ca.pdf,DONE,78d8990c7d2ccfebbe60d71f1ada435438cfa9871727bce68bacd0d0dfb835ca.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11163,W4396965048,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050535,2024,"{""pdf_links"": [""https://minerva.usc.es/bitstreams/db27a403-d9c1-41c4-8db7-763e1059d8a2/download"", ""https://www.mdpi.com/2227-7102/14/5/535/pdf?version=1715843083""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/256a8eac49854c07dd1a01b2b46ffb5b24cb24704f5a0a5fe91ca0750cf23795.pdf,DONE,256a8eac49854c07dd1a01b2b46ffb5b24cb24704f5a0a5fe91ca0750cf23795.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11164,W4396919132,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050534,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/534/pdf?version=1715781590""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/b33877da5f6c235d03826be5b3b5c4e7c4e42cdcbe9972e2bda0f7efaac0e3dd.pdf,DONE,b33877da5f6c235d03826be5b3b5c4e7c4e42cdcbe9972e2bda0f7efaac0e3dd.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11165,W4396888695,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050532,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/532/pdf?version=1715696269""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/24861ab1f22a4a69b2071bf11233ee55e047a9dc944c5d1f971f9c81efaa27d1.pdf,DONE,24861ab1f22a4a69b2071bf11233ee55e047a9dc944c5d1f971f9c81efaa27d1.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11166,W4396904671,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050531,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/531/pdf?version=1715682707""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/93d5c06ef963f7e35c39577c032a1eda2bbe633f36a2a15da78932ea7f4cb885.pdf,DONE,93d5c06ef963f7e35c39577c032a1eda2bbe633f36a2a15da78932ea7f4cb885.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11167,W4396930240,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050533,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/533/pdf?version=1715756837""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/e0319bb592cc6e5a24da5215baa855f9828f973d3bafd660a2372b5a7f4a4cfa.pdf,DONE,e0319bb592cc6e5a24da5215baa855f9828f973d3bafd660a2372b5a7f4a4cfa.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11168,W4396890003,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050530,2024,"{""pdf_links"": [""https://su.diva-portal.org/smash/get/diva2:1857502/FULLTEXT01"", ""https://www.mdpi.com/2227-7102/14/5/530/pdf?version=1715606534""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/d17a9ce0b111f0c85700516caf3168d3ec30fee40fb74482d9030896acbc1655.pdf,DONE,d17a9ce0b111f0c85700516caf3168d3ec30fee40fb74482d9030896acbc1655.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11169,W4396890742,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050525,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/525/pdf?version=1715582342""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/bdcb0aa6429f8643dff6f884478635073157e97d6dc2a44e102485f6a80aeadf.pdf,DONE,bdcb0aa6429f8643dff6f884478635073157e97d6dc2a44e102485f6a80aeadf.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11170,W4396890182,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050528,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/528/pdf?version=1715600170""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/054baa3024bab82b43dd65befcf0a68b659568e0eaa3241b7ece25cb0b2667e2.pdf,DONE,054baa3024bab82b43dd65befcf0a68b659568e0eaa3241b7ece25cb0b2667e2.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
11171,W4396890422,S2738008561,Education Sciences,https://doi.org/10.3390/educsci14050527,2024,"{""pdf_links"": [""https://www.mdpi.com/2227-7102/14/5/527/pdf?version=1715589060""]}",DONE,/home/jere/projects/open-science-mentions/db/pdfs/test/e7bfe5d6882a81700f48193e3002ca212d4bcb8185f3d6a1dc7e5dd777d2e2fd.pdf,DONE,e7bfe5d6882a81700f48193e3002ca212d4bcb8185f3d6a1dc7e5dd777d2e2fd.grobid.tei.xml,mdpi,Education Sciences,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE
